time,BF1,BF2,BF3,BF4,BF5,BF6,BF7,BF8,BF9,BF10,BF11,BF12
00:00:00,58,265,449,413,209,45,15,0,0,0,0,0
01:00:00,71,264,445,393,215,52,14,1,0,0,0,0
02:00:00,65,254,463,409,196,53,14,1,0,0,0,0
03:00:00,61,268,447,417,186,54,15,2,0,0,0,0
04:00:00,71,262,455,393,192,55,20,1,0,0,0,0
05:00:00,62,275,463,368,198,64,19,1,0,0,0,0
06:00:00,53,284,439,373,211,71,16,1,0,0,0,0
07:00:00,68,271,445,355,216,76,20,0,0,0,0,0
08:00:00,69,276,439,344,230,77,20,1,0,0,0,0
09:00:00,62,272,428,374,214,82,19,0,0,0,0,0
10:00:00,73,287,439,363,219,59,7,0,0,0,0,0
11:00:00,96,268,450,357,193,73,9,1,0,0,0,0
12:00:00,64,327,454,334,183,72,14,3,0,0,0,0
13:00:00,60,278,453,361,196,90,16,1,0,0,0,0
14:00:00,47,202,379,428,265,109,22,2,0,0,0,0
15:00:00,21,114,261,491,396,148,27,1,0,0,0,0
16:00:00,12,46,189,461,532,186,32,2,0,0,0,0
17:00:00,5,31,119,466,596,204,36,3,0,0,0,0
18:00:00,5,24,135,455,599,201,41,1,0,0,0,0
19:00:00,6,26,155,522,540,173,37,1,0,0,0,0
20:00:00,6,46,242,543,453,143,28,0,0,0,0,0
21:00:00,12,90,354,541,340,95,28,0,0,0,0,0
22:00:00,51,210,444,461,221,59,10,1,0,0,0,0
23:00:00,51,249,455,434,192,58,16,1,0,0,0,0
