Direction,Buffer,Frequency
22.5,BF0,0.0027093315080994754
22.5,BF1,0.09351471594798083
22.5,BF2,0.20990189368012777
22.5,BF3,0.1733686972393338
22.5,BF4,0.04092516541181839
22.5,BF5,0.0001425963951631303
22.5,BF6,0.0
22.5,BF7,0.0
22.5,BF8,0.0
22.5,BF9,0.0
22.5,BF10,0.0
22.5,BF11,0.0
22.5,BF12,0.0
22.5,BF13,0.0
67.5,BF0,0.0026522929500342233
67.5,BF1,0.03020191649555099
67.5,BF2,0.023186173853524984
67.5,BF3,0.018908281998631076
67.5,BF4,0.0019678302532511976
67.5,BF5,0.0
67.5,BF6,0.0
67.5,BF7,0.0
67.5,BF8,0.0
67.5,BF9,0.0
67.5,BF10,0.0
67.5,BF11,0.0
67.5,BF12,0.0
67.5,BF13,0.0
112.5,BF0,0.0019107916951859457
112.5,BF1,0.010010266940451745
112.5,BF2,0.0015970796258270592
112.5,BF3,0.0004277891854893908
112.5,BF4,0.0
112.5,BF5,0.0
112.5,BF6,0.0
112.5,BF7,0.0
112.5,BF8,0.0
112.5,BF9,0.0
112.5,BF10,0.0
112.5,BF11,0.0
112.5,BF12,0.0
112.5,BF13,0.0
157.5,BF0,0.0018537531371206936
157.5,BF1,0.013147387634040612
157.5,BF2,0.00932580424366872
157.5,BF3,0.006787588409765001
157.5,BF4,0.0015970796258270592
157.5,BF5,5.703855806525211e-05
157.5,BF6,0.0
157.5,BF7,0.0
157.5,BF8,0.0
157.5,BF9,0.0
157.5,BF10,0.0
157.5,BF11,0.0
157.5,BF12,0.0
157.5,BF13,0.0
202.5,BF0,0.0013118868355007985
202.5,BF1,0.019336071184120465
202.5,BF2,0.01771047227926078
202.5,BF3,0.011436230892083048
202.5,BF4,0.003051562856490988
202.5,BF5,0.00011407711613050422
202.5,BF6,0.0
202.5,BF7,0.0
202.5,BF8,0.0
202.5,BF9,0.0
202.5,BF10,0.0
202.5,BF11,0.0
202.5,BF12,0.0
202.5,BF13,0.0
247.5,BF0,0.0019393109742185718
247.5,BF1,0.013404061145334246
247.5,BF2,0.010466575404973762
247.5,BF3,0.01135067305498517
247.5,BF4,0.004563084645220169
247.5,BF5,2.8519279032626055e-05
247.5,BF6,0.0
247.5,BF7,0.0
247.5,BF8,0.0
247.5,BF9,0.0
247.5,BF10,0.0
247.5,BF11,0.0
247.5,BF12,0.0
247.5,BF13,0.0
292.5,BF0,0.0027378507871321013
292.5,BF1,0.01808122290668492
292.5,BF2,0.018765685603467943
292.5,BF3,0.015885238421172714
292.5,BF4,0.007928359571070043
292.5,BF5,0.0007129819758156514
292.5,BF6,5.703855806525211e-05
292.5,BF7,0.0
292.5,BF8,0.0
292.5,BF9,0.0
292.5,BF10,0.0
292.5,BF11,0.0
292.5,BF12,0.0
292.5,BF13,0.0
337.5,BF0,0.0028234086242299797
337.5,BF1,0.061344969199178645
337.5,BF2,0.0962240474560803
337.5,BF3,0.03100045630846452
337.5,BF4,0.005504220853296829
337.5,BF5,2.8519279032626055e-05
337.5,BF6,0.0
337.5,BF7,0.0
337.5,BF8,0.0
337.5,BF9,0.0
337.5,BF10,0.0
337.5,BF11,0.0
337.5,BF12,0.0
337.5,BF13,0.0
